name,zip,orders,month,delivery_service
Hühnerparadies,1030,86,1,competition
Restaurant Credo,1120,3,1,competition
Gaisbergstubn,8020,325,1,competition
Al Pacino Leopoldstadt,1020,405,1,competition
Vino e Mare,1140,125,1,competition
The Burger Bar,1090,693,1,competition
Akakiko,1130,1298,1,competition
my Indigo Innsbruck Museumstraße,6020,45,1,competition
Hollywood Pizza Service,1090,164,1,competition
Don Juan,4710,206,1,competition
China Restaurant Sun,1130,2,1,competition
Alaturka,1030,452,1,competition
El Profesor Ristorante Pizzeria,5020,794,1,competition
Burger's Bar,1020,1002,1,competition
Damas Sweets & Coffee,1060,9,1,competition
Bahn Kebap Pizza,2514,405,1,competition
FoodExpress Vienna,1050,203,1,competition
Asia Imbiss Landstraße,4020,46,1,competition
Pizzeria Sankt Markus,2700,206,1,competition
stadtliebe,4020,48,1,competition
Viva Pizzeria,8435,168,1,competition
Haru,1190,1338,1,competition
my Indigo Lentia City,4040,8,1,competition
Pizza Service Giovanni,3032,925,1,competition
Pizzeria Chilli Tomato & Getränkeshop,1070,1499,1,competition
McDonald's®,2700,287,1,competition
Pizzeria Napoli Gleisdorf,8200,853,1,competition
Restaurant Bombay,6300,365,1,competition
Aydin Bäckerei,6020,85,1,competition
Restaurant Otto Weingartshofer,1150,0,1,competition
Asia Nudeln,1110,7,1,competition
Palas Pizza & Pasta,6235,6,1,competition
Pho-Hanoi Linz,4040,1422,1,competition
Gasthaus Backhendlstation,4470,209,1,competition
Caprese Pizzeria,1110,170,1,competition
Pizzeria Bari,4840,447,1,competition
Jasmin al Sham 2,1100,91,1,competition
Pizzaria Azzurro,8010,247,1,competition
Krone,4860,773,1,competition
Nagoya Sushi,1040,232,1,competition
Gui Lin Running Sushi & Tokyo,9020,86,1,competition
Istanbul Kebab Hermagor,9620,206,1,competition
Max & Benito Mariahilfer Strasse,1070,86,1,competition
Die Bausatz Lokale,8010,0,1,competition
Pizza Welt,1200,209,1,competition
Lava Pizza - Grill und Burger,4020,371,1,competition
Opernschnitzel,1040,168,1,competition
Tasty Asia,1160,414,1,competition
Pizzeria Ristorante Da Vinci Lissfeld,4020,607,1,competition
Han Asia Wok,1180,772,1,competition
My Schnitzel,1060,46,1,competition
Kenko Bowls & Sushirritos,1070,410,1,competition
Vienoschank,1040,8,1,competition
Pizzeria Peppino,2000,243,1,competition
Restaurant Les Cedres,1020,9,1,competition
Pizzeservice New York Holzofen,3034,375,1,competition
Safran,1230,1181,1,competition
Canpare Pizza & Burger,2353,248,1,competition
Imbiss Antonio,4030,7,1,competition
Himalayan Nepali Kitchen,6020,123,1,competition
Cafe Pizzeria La Famiglia,8010,342,1,competition
Saffron Lounge,1030,370,1,competition
Restaurant Chinazentrum Zhong Xin,1060,3,1,competition
Ava Persisches Restaurant,1120,8,1,competition
Tiffin,1070,369,1,competition
Eronn Pizza Kebab,8670,327,1,competition
Safran,6020,252,1,competition
Heuriger zur alten Weinpresse,1030,252,1,competition
Pizzeria La Spiga,1080,491,1,competition
Piccola Italia,2640,446,1,competition
Nonna in Cocina,1220,1,1,competition
Levata del Sole,4400,485,1,competition
Pizzeria Marina,1110,284,1,competition
Pizzakeller Partyhaus,1220,44,1,competition
Chili,6020,43,1,competition
Burgerista,1150,245,1,competition
Schnitzelhaus Haidhof,2601,984,1,competition
MM Pizza,5020,614,1,competition
Sheng Long,1170,332,1,competition
Wok Walk,1060,44,1,competition
X&D Wok,8020,9,1,competition
Bärenwirt Salzburg,5020,2025,1,competition
Schnitzel Fan,1100,130,1,competition
La Luna-Chleifa Pizzeria,2320,204,1,competition
Wadi Kebap & Grillhaus,1120,8,1,competition
Cigkoftem,1200,89,1,competition
Pizzeria Portolino,1230,1623,1,competition
Pizzawerk,1120,166,1,competition
Restaurant Tandoor,1070,1263,1,competition
Noodle Haus,1200,1,1,competition
Al Fayrooz,1010,4,1,competition
Bon Appetit,2213,205,1,competition
"Illi's Pizza, Kebap & Burger",4642,325,1,competition
Hawaii II,2700,4,1,competition
Asian Pocket,1040,6,1,competition
Hollywood Pizza & Burger,3100,369,1,competition
May's Grill,6020,84,1,competition
La Perla,8055,250,1,competition
Pizzeria BELLA ITALIA,8720,266,1,competition
Yummy,2620,527,1,competition
Bullburger,1200,247,1,competition
Gasthaus am Bahnhof,2424,91,1,competition
Café Merkur,1080,46,1,competition
Happy Burger,8020,376,1,competition
Picco Bella,1170,367,1,competition
Schnitzel & Burger City Point,6020,329,1,competition
Dong Nai Vietnam,1010,163,1,competition
Dhaka - Indisches Bistro,1160,1,1,competition
Kebaplounge Istanbul,4400,451,1,competition
Pizzaria The kitchen Saalfelden,5760,5,1,competition
Würstelhaus,4030,130,1,competition
Pizzeria Pisa,6020,814,1,competition
Cool & Sweet,1200,353,1,competition
Best Food Grill,8020,82,1,competition
City Grill,1210,291,1,competition
Pizza-Plus,9500,334,1,competition
Lee kocht,1030,408,1,competition
Asia Restaurant,3003,43,1,competition
Schnitzelhaus Neusiedl,7100,207,1,competition
Burgerista,1150,439,1,competition
Pizzeria La Pronto,1210,1024,1,competition
Cafe Go West,1070,82,1,competition
La Traviata,1100,168,1,competition
Orienthouse Minimarkt Imbiss,1110,2,1,competition
Ristorante Roma,1180,248,1,competition
Crazy Burger,4664,124,1,competition
Loana CakeAway Graz,8010,81,1,competition
La Margherita,1230,448,1,competition
Gong Pizza & Asiatisch,8472,492,1,competition
Score Eggenberg,8020,375,1,competition
Berliner Babo,1120,3,1,competition
Horosh,8010,4,1,competition
New Namastey,4020,86,1,competition
dean & david,8010,1646,1,competition
Simay Pizza Kebap Salat,6020,4,1,competition
Fratello,5700,368,1,competition
Pizzeria Ristorante Venezia Wien,1040,223,1,competition
Gustobox Menüs,1030,1,1,competition
Emser Best Kebap,6845,129,1,competition
Sunset Fam. Widowitz OG,2100,6,1,competition
Waldgasthaus Bockerl,2340,534,1,competition
Hot fresh Kultur,1060,5,1,competition
My Dürüm,6410,753,1,competition
Kaisermühlenkebap,1220,244,1,competition
Burger King,2351,127,1,competition
Pizzeria Riva Italia Wien,1150,1051,1,competition
my Indigo,1220,6,1,competition
Zu den 3 Goldenen Kugeln,8010,930,1,competition
Pizzeria Little Eataly,9020,172,1,competition
Krazy Kitchen,1030,1303,1,competition
my Indigo Salzburg Herrnau,5020,8,1,competition
Schnitzelpalast,1230,634,1,competition
Star Kebap Burger Schnitzelhaus,3380,44,1,competition
Meşk,1150,4,1,competition
Burger Land,8010,365,1,competition
Pizza Planet,2540,436,1,competition
Lucky Wok,6020,204,1,competition
Restaurant Deniz,3100,204,1,competition
Super Nudeln,1050,9,1,competition
Subway,6020,3,1,competition
Sorrento,2544,1505,1,competition
Pizzeria Via Della,6444,128,1,competition
Grill & Box,8020,42,1,competition
Zum Hagenthaler,1060,1231,1,competition
Adisch,1160,43,1,competition
Unica,1020,408,1,competition
Gasthaus zur Traube,8053,81,1,competition
Tasty-Burger,1020,105,1,competition
Dolce Vita Graz,8020,974,1,competition
Mr. Nam,1100,126,1,competition
Efos Pizza-Kebap,4070,128,1,competition
Allianz Bäckerei,4040,3,1,competition
Restaurant Amadeus,4800,462,1,competition
Pizza Welt Imst,6460,166,1,competition
Mohlzeit,6280,237,1,competition
Zum Kaiser Stand,1110,293,1,competition
Mannam,1090,0,1,competition
Unicafe,8010,9,1,competition
Döner Meister,1070,6,1,competition
Call Pizza 22,1220,775,1,competition
Pizza Cassano,1150,1148,1,competition
Napoli Holzofen Pizzeria,2604,725,1,competition
Pizzeria Wallsee,3313,582,1,competition
Asia Restaurant Li,2320,1439,1,competition
Asia Restaurant Lin,1080,85,1,competition
Pizzeria Mafiosi,2462,91,1,competition
Road Diner,6060,534,1,competition
Alinos Restaurant Pizzeria,1230,6,1,competition
Autodiele Pizza & Grill Haus,4484,894,1,competition
Grill & Schnitzel House,4020,1133,1,competition
Space Burger,1010,917,1,competition
Hard Rock Cafe,1010,286,1,competition
Lin's Asia Küche,6850,410,1,competition
Wienerwald,1200,4,1,competition
Lilla Boss,3830,47,1,competition
Natsu Sushi,1070,410,1,competition
McDonald's®,8010,125,1,competition
Il Pasto Kitchen Amore,1200,135,1,competition
MyFreshly,5020,7,1,competition
Papa's Bio Pizzeria,6020,10,1,competition
Bauernwirt,8053,7,1,competition
Momiji Asia Restaurant,8010,248,1,competition
Som Kitchen,1100,249,1,competition
Duru,1160,169,1,competition
Berliner Döner,6020,164,1,competition
Liu's Asia Küche,4020,249,1,competition
Döblinger Pizzeria,1190,121,1,competition
His Pizza & Burger Treff,3500,89,1,competition
Bao Panda,1180,327,1,competition
Ting Ting Kitchen,6844,811,1,competition
Pizzeria Palermo Linz,4020,8,1,competition
Zuckero,1120,8,1,competition
Shisoya Noodle,1030,7,1,competition
"Vinci Pizzeria, Eiscafe und Eiswagen",6200,652,1,competition
Ronni's,2231,723,1,competition
Stand 12 - weil's Wurscht is,8010,42,1,competition
DS Arjuna,1160,7,1,competition
The Green Garden,5020,6,1,competition
Burger Factory,8020,6,1,competition
Burger City,2345,167,1,competition
Willy's Snackbar,1020,1,1,competition
The Best,4050,350,1,competition
Ugarit -Mediterranes Restaurant,8020,8,1,competition
Waidhofner Pizzeria Kebab,3830,6,1,competition
NORDSEE,1010,690,1,competition
Flax Wörgl,6300,770,1,competition
Pizzeria-Ristorante Da Vinci,6971,210,1,competition
Tien Du,1210,530,1,competition
Noodle King,1120,1,1,competition
Restaurant im Tennis Point Vienna,1030,124,1,competition
Hollywood Pizza & Burger,3370,50,1,competition
Asia Restaurant Fu Cheng,2700,609,1,competition
Pizzeria David Leonding,4060,2023,1,competition
Dino's Pizzeria Imbiss,6130,406,1,competition
Marnero,3001,169,1,competition
ULRICH,1070,948,1,competition
Bio-Frische,1180,1261,1,competition
Das Kimchi,1030,510,1,competition
Vabene Trattoria,2700,2,1,competition
Izzi Kebab & Pizza,3130,318,1,competition
Pizzeria Paparazzi,6130,371,1,competition
Soulkitchen by Bits & Bites,1030,1,1,competition
Stadtcafe,1010,2,1,competition
La Pizza,8020,85,1,competition
Königsstube,6166,9,1,competition
Konya Sofrasi,1220,349,1,competition
Grillzone,6060,49,1,competition
Burger Brothers,1200,1139,1,competition
NORDSEE,5020,85,1,competition
Unis Kebap,8010,4,1,competition
INDIAN PALACE RESTAURANT,5020,1,1,competition
Mosaik Pizza-Kebap,2620,207,1,competition
McDonald's®,6020,166,1,competition
Indisches Restaurant Taj Mahal,5020,329,1,competition
Wolf's Würstelstand + Burgerbar,2000,287,1,competition
L&M,9400,89,1,competition
Pizza Ollers,2252,89,1,competition
dean & david,1020,99,1,competition
Mile's Diner,8041,6,1,competition
Ulag,1100,7,1,competition
Sternberg,1220,2609,1,competition
Pizzeria Speedy,1110,5,1,competition
Herberts Stubn,8073,3,1,competition
Yummy,1200,50,1,competition
Das Katzencafé,9020,168,1,competition
Hofkneipe,4020,90,1,competition
Fat Monk,1150,3,1,competition
Agalar Kebap und Pizza,2512,521,1,competition
Best of Kebab,9020,1,1,competition
Jack's Burger,9020,733,1,competition
Namastey India,4030,973,1,competition
Dunkin' Donuts,8010,9,1,competition
Prendi Pizza Viaduktbögen,6020,371,1,competition
Fikos,4522,8,1,competition
Raiman,1160,171,1,competition
Taiwan Restaurant,8700,468,1,competition
Ludwig,5020,287,1,competition
Due Amici,8020,253,1,competition
Giovanni's Ristorante,6700,292,1,competition
Pizzeria da Corrado,1140,3523,1,competition
Pizzeria Trattoria Toscana,6700,435,1,competition
Anatolia,6020,4,1,competition
Mostviertler Pizzeria,3362,285,1,competition
Tomato Pizzeria,1100,83,1,competition
Pizzeria Medici,3100,124,1,competition
Burger Bros,1100,371,1,competition
Anna's Schnitzel Stube,1080,86,1,competition
Wienerwald,1100,346,1,competition
Okra Izakaya,1020,87,1,competition
Futtertopf,1160,615,1,competition
Zen,2340,1753,1,competition
Pizzeria Amalfi,8410,49,1,competition
Chinarestaurant Asia,9431,365,1,competition
Cantinetta La Norma,1010,2,1,competition
Tasty Donuts & Coffee,8010,7,1,competition
Pizzeria Pomodoro,1230,209,1,competition
Lucky House,1210,407,1,competition
Pizzeria Palermo,4522,42,1,competition
HEUER am Karlsplatz,1040,5,1,competition
Cemani,2700,432,1,competition
Hali's - Natürlich frische Küche,1170,819,1,competition
Safran Vienna,1090,163,1,competition
Napoli Centrale,1030,167,1,competition
Brau32,8010,2,1,competition
Muse,3100,46,1,competition
Restaurant bei Manuel,5412,42,1,competition
Favorito Pizzeria,1140,88,1,competition
Trattoria Margareta,1050,168,1,competition
Das Vindobona,1200,9,1,competition
Mikata Izakaya,1010,1,1,competition
China Restaurant Red Chili,1140,534,1,competition
Schnitzelmeister,1200,491,1,competition
Bombay Express,1220,326,1,competition
Mando,8041,7,1,competition
Vapiano,1100,433,1,competition
Beaver Brewing Company 1050 Wien,1050,129,1,competition
Yasna Panda Box,8053,3,1,competition
Gạo Cuisine,1120,248,1,competition
Mendez Cocktails & Tapas,1010,9,1,competition
PANIMA,9020,44,1,competition
Restaurant Neuhofen,4501,603,1,competition
Galina Stüble Nenzing,6820,452,1,competition
Ibo's,4062,88,1,competition
Mevlana Kebap & Pizza Haus,2700,46,1,competition
L'Vita,4850,865,1,competition
Bräukeller,8020,1135,1,competition
Ikra Kebap,1200,209,1,competition
Robin Imbiss,6923,89,1,competition
Pasta & Vino,5020,0,1,competition
Piatto Pizza & Kebap,4030,817,1,competition
Pizzeria Miami,2721,1355,1,competition
Madhuban,6020,246,1,competition
Pizzeria Giovanni,8582,861,1,competition
Akakiko,1100,166,1,competition
China Restaurant zum goldenen Fisch,1130,741,1,competition
Pronto Pizza,6900,838,1,competition
Rasoi,1100,562,1,competition
Pho Hang Vietnamese Cuisine,1070,41,1,competition
Burger King,1170,250,1,competition
Strasser-Bräu,1120,6,1,competition
Weizer Kebaphaus,8160,47,1,competition
Souvlaki Bar Grill & More,3100,245,1,competition
Om Namo,1050,7,1,competition
Kung Fu,4061,330,1,competition
Komagene,1100,8,1,competition
Subway,4020,7,1,competition
Burgerista,4040,203,1,competition
Pizza Bella Bruck an der Mur,8600,850,1,competition
Kebap & Pizza Haus Brunner,2345,287,1,competition
Mezzaluna Pizzeria&Ristorante,1100,40,1,competition
Asia Bistro,1160,89,1,competition
Dolce Vita Pizzeria,1120,934,1,competition
Etno Restaurant Grill,1200,9,1,competition
Hali's - Natürlich frische Küche,2361,325,1,competition
Kebab House,9500,5,1,competition
Pizza & Burger,6100,203,1,competition
Lokmacho Creamery,1100,2,1,competition
Pizzeria Lori's,2870,130,1,competition
Best of Burger & Schnitzel,1100,1943,1,competition
Roberto Pizza,6850,696,1,competition
Ristorante da Gennaro,1010,290,1,competition
Pizzeria Bella Italia,3950,91,1,competition
Pizzanista,1100,1173,1,competition
Pizza-Service California,3130,84,1,competition
Snack Palazzo,6020,4,1,competition
ShanghaiTan,1060,8,1,competition
Pizza & Burger,4030,165,1,competition
La Marina,4050,532,1,competition
Pasta Bar,6020,1,1,competition
Clocktower American Bar & Grill,8053,1,1,competition
Best Geflügel-Fisch-Imbiss,1110,288,1,competition
ra'mien Restaurant,1060,271,1,competition
Burger Boss,4614,631,1,competition
Piroschka,1180,2,1,competition
Pizza Beyzii,1120,890,1,competition
Futterboden,1140,1005,1,competition
Peri Peri 2,8010,127,1,competition
