country,year,life expectancy,continent,population,fertility
Albania,1959,61.75,Europe,1588478.0,6.28
Albania,1960,62.87,Europe,1636054.0,6.19
Albania,1961,63.92,Europe,1685901.0,6.08
Albania,1962,64.84,Europe,1737645.0,5.96
Albania,1963,65.6,Europe,1790533.0,5.83
Albania,1964,66.18,Europe,1843596.0,5.71
Albania,1965,66.59,Europe,1896125.0,5.59
Albania,1966,66.88,Europe,1947786.0,5.48
Albania,1967,67.11,Europe,1998695.0,5.38
Albania,1968,67.32,Europe,2049147.0,5.27
Albania,1969,67.55,Europe,2099657.0,5.16
Albania,1970,67.83,Europe,2150602.0,5.05
Albania,1971,68.16,Europe,2202040.0,4.93
Albania,1972,68.53,Europe,2253842.0,4.81
Albania,1973,68.93,Europe,2305999.0,4.68
Albania,1974,69.35,Europe,2358467.0,4.54
Albania,1975,69.77,Europe,2411229.0,4.39
Albania,1976,70.17,Europe,2464338.0,4.24
Albania,1977,70.54,Europe,2517869.0,4.09
Albania,1978,70.86,Europe,2571845.0,3.95
Albania,1979,71.14,Europe,2626290.0,3.81
Albania,1980,71.39,Europe,2681245.0,3.68
Albania,1981,71.63,Europe,2735329.0,3.56
Albania,1982,71.88,Europe,2788315.0,3.46
Albania,1983,72.15,Europe,2842620.0,3.37
Albania,1984,72.42,Europe,2901590.0,3.3
Albania,1985,72.71,Europe,2966799.0,3.23
Albania,1986,72.96,Europe,3041003.0,3.18
Albania,1987,73.14,Europe,3121336.0,3.13
Albania,1988,73.25,Europe,3197064.0,3.08
Albania,1989,73.3,Europe,3253659.0,3.02
Albania,1990,73.3,Europe,3281453.0,2.97
Albania,1991,73.4,Europe,3275438.0,2.92
Albania,1992,73.6,Europe,3240613.0,2.87
Albania,1993,73.6,Europe,3189623.0,2.82
Albania,1994,73.6,Europe,3140634.0,2.77
Albania,1995,73.7,Europe,3106727.0,2.72
Albania,1996,73.8,Europe,3092034.0,2.67
Albania,1997,74.1,Europe,3092471.0,2.61
Albania,1998,74.2,Europe,3102898.0,2.54
Albania,1999,74.2,Europe,3114851.0,2.47
Albania,2000,74.7,Europe,3121965.0,2.38
Albania,2001,75.1,Europe,3124093.0,2.29
Albania,2002,75.5,Europe,3123112.0,2.2
Albania,2003,75.7,Europe,3117045.0,2.1
Albania,2004,75.9,Europe,3103758.0,2.0
Albania,2005,76.2,Europe,3082172.0,1.92
Albania,2006,76.4,Europe,3050741.0,1.85
Albania,2007,76.6,Europe,3010849.0,1.8
Albania,2008,76.8,Europe,2968026.0,1.76
Albania,2009,77.0,Europe,2929886.0,1.74
Albania,2010,77.2,Europe,2901883.0,1.74
Albania,2011,77.4,Europe,2886010.0,1.75
Albania,2012,77.5,Europe,2880667.0,1.76
Albania,2013,77.7,Europe,2883281.0,1.77
Albania,2014,77.9,Europe,2889676.0,1.78
Albania,2015,78.0,Europe,2896679.0,1.78
Algeria,1951,43.03,Africa,9039913.0,7.65
Algeria,1952,43.5,Africa,9216395.0,7.65
Algeria,1953,43.96,Africa,9405445.0,7.65
Algeria,1954,44.44,Africa,9609507.0,7.65
Algeria,1955,44.93,Africa,9829717.0,7.65
Algeria,1956,45.44,Africa,10065829.0,7.65
Algeria,1957,45.94,Africa,10316288.0,7.65
Algeria,1958,46.45,Africa,10578453.0,7.65
Algeria,1959,46.97,Africa,10848971.0,7.65
Algeria,1960,47.5,Africa,11124892.0,7.65
Algeria,1961,48.02,Africa,11404859.0,7.65
Algeria,1962,48.55,Africa,11690152.0,7.65
Algeria,1963,49.07,Africa,11985130.0,7.65
Algeria,1964,49.58,Africa,12295973.0,7.65
Algeria,1965,50.09,Africa,12626953.0,7.66
Algeria,1966,50.58,Africa,12980269.0,7.66
Algeria,1967,51.05,Africa,13354197.0,7.66
Algeria,1968,51.49,Africa,13744383.0,7.66
Algeria,1969,51.95,Africa,14144437.0,7.65
Algeria,1970,52.41,Africa,14550033.0,7.64
Algeria,1971,52.88,Africa,14960111.0,7.62
Algeria,1972,53.38,Africa,15377095.0,7.59
Algeria,1973,53.91,Africa,15804428.0,7.55
Algeria,1974,54.52,Africa,16247113.0,7.49
Algeria,1975,55.24,Africa,16709098.0,7.42
Algeria,1976,56.11,Africa,17190236.0,7.34
Algeria,1977,57.13,Africa,17690184.0,7.24
Algeria,1978,58.28,Africa,18212331.0,7.14
Algeria,1979,59.56,Africa,18760761.0,7.02
Algeria,1980,60.92,Africa,19337723.0,6.89
Algeria,1981,62.31,Africa,19943667.0,6.74
Algeria,1982,63.69,Africa,20575701.0,6.58
Algeria,1983,64.97,Africa,21228288.0,6.39
Algeria,1984,66.15,Africa,21893857.0,6.19
Algeria,1985,67.18,Africa,22565908.0,5.98
Algeria,1986,68.04,Africa,23241276.0,5.75
Algeria,1987,68.75,Africa,23917889.0,5.51
Algeria,1988,69.33,Africa,24591493.0,5.26
Algeria,1989,69.81,Africa,25257671.0,5.01
Algeria,1990,70.2,Africa,25912364.0,4.76
Algeria,1991,70.5,Africa,26554277.0,4.5
Algeria,1992,70.9,Africa,27180921.0,4.24
Algeria,1993,71.2,Africa,27785977.0,3.97
Algeria,1994,71.4,Africa,28362015.0,3.71
Algeria,1995,71.6,Africa,28904300.0,3.45
Algeria,1996,72.1,Africa,29411839.0,3.21
Algeria,1997,72.4,Africa,29887717.0,2.99
Algeria,1998,72.6,Africa,30336880.0,2.79
Algeria,1999,73.0,Africa,30766551.0,2.63
Algeria,2000,73.3,Africa,31183658.0,2.51
Algeria,2001,73.5,Africa,31590320.0,2.44
Algeria,2002,73.8,Africa,31990387.0,2.41
Algeria,2003,73.9,Africa,32394886.0,2.41
Algeria,2004,74.4,Africa,32817225.0,2.45
Algeria,2005,74.8,Africa,33267887.0,2.51
Algeria,2006,75.0,Africa,33749328.0,2.58
Algeria,2007,75.3,Africa,34261971.0,2.66
Algeria,2008,75.5,Africa,34811059.0,2.73
Algeria,2009,75.7,Africa,35401790.0,2.78
Algeria,2010,76.0,Africa,36036159.0,2.82
Algeria,2011,76.1,Africa,36717132.0,2.83
Algeria,2012,76.2,Africa,37439427.0,2.82
Algeria,2013,76.3,Africa,38186135.0,2.8
Algeria,2014,76.3,Africa,38934334.0,2.76
Algeria,2015,76.4,Africa,39666519.0,2.71
Angola,1951,31.05,Africa,4439705.0,6.94
Angola,1952,31.59,Africa,4529381.0,6.98
Angola,1953,32.14,Africa,4621691.0,7.02
Angola,1954,32.69,Africa,4714970.0,7.06
Angola,1955,33.24,Africa,4808114.0,7.1
Angola,1956,33.78,Africa,4900594.0,7.14
Angola,1957,34.33,Africa,4992439.0,7.19
Angola,1958,34.88,Africa,5084166.0,7.23
Angola,1959,35.43,Africa,5176662.0,7.28
Angola,1960,35.98,Africa,5270844.0,7.32
Angola,1961,36.53,Africa,5367287.0,7.35
Angola,1962,37.08,Africa,5465905.0,7.39
Angola,1963,37.63,Africa,5565808.0,7.41
Angola,1964,38.18,Africa,5665701.0,7.43
Angola,1965,38.74,Africa,5765025.0,7.43
Angola,1966,39.28,Africa,5863568.0,7.42
Angola,1967,39.84,Africa,5962831.0,7.4
Angola,1968,40.39,Africa,6066094.0,7.38
Angola,1969,40.95,Africa,6177703.0,7.34
Angola,1970,41.5,Africa,6300969.0,7.3
Angola,1971,42.06,Africa,6437645.0,7.26
Angola,1972,42.62,Africa,6587647.0,7.23
Angola,1973,43.17,Africa,6750215.0,7.21
Angola,1974,43.71,Africa,6923749.0,7.19
Angola,1975,44.22,Africa,7107334.0,7.19
Angola,1976,44.68,Africa,7299508.0,7.19
Angola,1977,45.12,Africa,7501320.0,7.19
Angola,1978,45.5,Africa,7717139.0,7.19
Angola,1979,45.84,Africa,7952882.0,7.2
Angola,1980,46.14,Africa,8211950.0,7.2
Angola,1981,46.42,Africa,8497950.0,7.2
Angola,1982,46.69,Africa,8807511.0,7.2
Angola,1983,46.96,Africa,9128655.0,7.21
Angola,1984,47.23,Africa,9444918.0,7.21
Angola,1985,47.5,Africa,9745209.0,7.21
Angola,1986,47.75,Africa,10023700.0,7.21
Angola,1987,47.99,Africa,10285712.0,7.2
Angola,1988,48.2,Africa,10544904.0,7.19
Angola,1989,48.4,Africa,10820992.0,7.18
Angola,1990,48.6,Africa,11127870.0,7.17
Angola,1991,49.3,Africa,11472173.0,7.14
Angola,1992,49.6,Africa,11848971.0,7.12
Angola,1993,48.4,Africa,12246786.0,7.09
Angola,1994,50.0,Africa,12648483.0,7.05
Angola,1995,50.9,Africa,13042666.0,7.02
Angola,1996,51.3,Africa,13424813.0,6.98
Angola,1997,51.7,Africa,13801868.0,6.95
Angola,1998,51.8,Africa,14187710.0,6.91
Angola,1999,51.8,Africa,14601983.0,6.88
Angola,2000,52.3,Africa,15058638.0,6.84
Angola,2001,52.5,Africa,15562791.0,6.81
Angola,2002,53.3,Africa,16109696.0,6.78
Angola,2003,53.9,Africa,16691395.0,6.74
Angola,2004,54.5,Africa,17295500.0,6.7
Angola,2005,55.2,Africa,17912942.0,6.66
Angola,2006,55.7,Africa,18541467.0,6.6
Angola,2007,56.2,Africa,19183907.0,6.52
Angola,2008,56.7,Africa,19842251.0,6.43
Angola,2009,57.1,Africa,20520103.0,6.33
Angola,2010,57.6,Africa,21219954.0,6.22
Angola,2011,58.1,Africa,21942296.0,6.1
Angola,2012,58.5,Africa,22685632.0,5.98
Angola,2013,58.8,Africa,23448202.0,5.86
Angola,2014,59.2,Africa,24227524.0,5.75
Angola,2015,59.6,Africa,25021974.0,5.65
Antigua and Barbuda,1951,58.26,North America,48306.0,4.46
Antigua and Barbuda,1952,58.8,North America,49887.0,4.5
Antigua and Barbuda,1953,59.34,North America,51092.0,4.52
Antigua and Barbuda,1954,59.87,North America,51979.0,4.53
Antigua and Barbuda,1955,60.41,North America,52611.0,4.53
Antigua and Barbuda,1956,60.93,North America,53062.0,4.53
Antigua and Barbuda,1957,61.45,North America,53411.0,4.51
Antigua and Barbuda,1958,61.97,North America,53744.0,4.49
Antigua and Barbuda,1959,62.48,North America,54143.0,4.46
Antigua and Barbuda,1960,62.97,North America,54681.0,4.43
Antigua and Barbuda,1961,63.46,North America,55403.0,4.39
Antigua and Barbuda,1962,63.93,North America,56311.0,4.34
Antigua and Barbuda,1963,64.38,North America,57368.0,4.3
Antigua and Barbuda,1964,64.81,North America,58500.0,4.25
Antigua and Barbuda,1965,65.23,North America,59653.0,4.19
Antigua and Barbuda,1966,65.63,North America,60818.0,4.13
Antigua and Barbuda,1967,66.03,North America,62002.0,4.04
Antigua and Barbuda,1968,66.41,North America,63176.0,3.94
Antigua and Barbuda,1969,66.81,North America,64307.0,3.82
Antigua and Barbuda,1970,67.19,North America,65369.0,3.68
Antigua and Barbuda,1971,67.56,North America,66338.0,3.52
Antigua and Barbuda,1972,67.94,North America,67205.0,3.33
Antigua and Barbuda,1973,68.3,North America,67972.0,3.12
Antigua and Barbuda,1974,68.64,North America,68655.0,2.91
Antigua and Barbuda,1975,68.99,North America,69253.0,2.7
Antigua and Barbuda,1976,69.32,North America,69782.0,2.51
Antigua and Barbuda,1977,69.64,North America,70223.0,2.36
Antigua and Barbuda,1978,69.96,North America,70508.0,2.24
Antigua and Barbuda,1979,70.28,North America,70553.0,2.16
Antigua and Barbuda,1980,70.59,North America,70301.0,2.12
Antigua and Barbuda,1981,70.9,North America,69750.0,2.1
Antigua and Barbuda,1982,71.22,North America,68950.0,2.1
Antigua and Barbuda,1983,71.52,North America,67958.0,2.1
Antigua and Barbuda,1984,71.82,North America,66863.0,2.1
Antigua and Barbuda,1985,72.13,North America,65744.0,2.09
Antigua and Barbuda,1986,72.42,North America,64605.0,2.08
Antigua and Barbuda,1987,72.7,North America,63484.0,2.07
Antigua and Barbuda,1988,72.97,North America,62538.0,2.06
Antigua and Barbuda,1989,73.24,North America,61967.0,2.06
Antigua and Barbuda,1990,73.5,North America,61906.0,2.06
Antigua and Barbuda,1991,73.6,North America,62412.0,2.07
Antigua and Barbuda,1992,73.5,North America,63434.0,2.1
Antigua and Barbuda,1993,73.4,North America,64868.0,2.13
Antigua and Barbuda,1994,73.4,North America,66550.0,2.17
Antigua and Barbuda,1995,73.5,North America,68349.0,2.21
Antigua and Barbuda,1996,73.5,North America,70245.0,2.25
Antigua and Barbuda,1997,73.9,North America,72232.0,2.28
Antigua and Barbuda,1998,74.1,North America,74206.0,2.3
Antigua and Barbuda,1999,74.0,North America,76041.0,2.32
Antigua and Barbuda,2000,73.8,North America,77648.0,2.32
Antigua and Barbuda,2001,74.1,North America,78972.0,2.31
Antigua and Barbuda,2002,74.3,North America,80030.0,2.29
Antigua and Barbuda,2003,74.5,North America,80904.0,2.27
Antigua and Barbuda,2004,74.6,North America,81718.0,2.25
Antigua and Barbuda,2005,74.9,North America,82565.0,2.22
Antigua and Barbuda,2006,74.9,North America,83467.0,2.2
Antigua and Barbuda,2007,75.3,North America,84397.0,2.18
Antigua and Barbuda,2008,75.5,North America,85350.0,2.16
Antigua and Barbuda,2009,75.7,North America,86300.0,2.15
Antigua and Barbuda,2010,75.8,North America,87233.0,2.13
Antigua and Barbuda,2011,75.9,North America,88152.0,2.12
Antigua and Barbuda,2012,76.1,North America,89069.0,2.1
Antigua and Barbuda,2013,76.2,North America,89985.0,2.09
Antigua and Barbuda,2014,76.3,North America,90900.0,2.08
Antigua and Barbuda,2015,76.4,North America,91818.0,2.06
Argentina,1951,61.93,South America,17507132.0,3.16
Argentina,1952,62.54,South America,17866097.0,3.16
Argentina,1953,63.1,South America,18224150.0,3.15
Argentina,1954,63.59,South America,18579041.0,3.15
Argentina,1955,64.03,South America,18929350.0,3.14
Argentina,1956,64.41,South America,19274526.0,3.14
Argentina,1957,64.73,South America,19614848.0,3.13
Argentina,1958,65.0,South America,19951326.0,3.12
Argentina,1959,65.22,South America,20285530.0,3.12
Argentina,1960,65.39,South America,20619075.0,3.11
Argentina,1961,65.53,South America,20953079.0,3.1
Argentina,1962,65.64,South America,21287682.0,3.09
Argentina,1963,65.74,South America,21621845.0,3.08
Argentina,1964,65.84,South America,21953926.0,3.07
Argentina,1965,65.95,South America,22283389.0,3.06
Argentina,1966,66.08,South America,22608747.0,3.05
Argentina,1967,66.26,South America,22932201.0,3.05
Argentina,1968,66.47,South America,23261273.0,3.05
Argentina,1969,66.72,South America,23605992.0,3.06
Argentina,1970,67.01,South America,23973062.0,3.07
Argentina,1971,67.32,South America,24366442.0,3.1
Argentina,1972,67.64,South America,24782950.0,3.15
Argentina,1973,67.96,South America,25213388.0,3.2
Argentina,1974,68.28,South America,25644505.0,3.26
Argentina,1975,68.6,South America,26066975.0,3.32
Argentina,1976,68.92,South America,26477153.0,3.37
Argentina,1977,69.24,South America,26878567.0,3.39
Argentina,1978,69.57,South America,27277742.0,3.39
Argentina,1979,69.89,South America,27684530.0,3.37
Argentina,1980,70.2,South America,28105889.0,3.33
Argentina,1981,70.51,South America,28543366.0,3.27
Argentina,1982,70.78,South America,28993989.0,3.21
Argentina,1983,71.04,South America,29454739.0,3.16
Argentina,1984,71.26,South America,29920907.0,3.12
Argentina,1985,71.46,South America,30388781.0,3.09
Argentina,1986,71.66,South America,30857242.0,3.07
Argentina,1987,71.84,South America,31326473.0,3.06
Argentina,1988,72.05,South America,31795515.0,3.04
Argentina,1989,72.26,South America,32263559.0,3.02
Argentina,1990,72.5,South America,32729740.0,2.99
Argentina,1991,72.7,South America,33193920.0,2.96
Argentina,1992,72.8,South America,33655149.0,2.92
Argentina,1993,73.1,South America,34110912.0,2.88
Argentina,1994,73.4,South America,34558114.0,2.83
Argentina,1995,73.5,South America,34994818.0,2.77
Argentina,1996,73.5,South America,35419683.0,2.72
Argentina,1997,73.6,South America,35833965.0,2.66
Argentina,1998,73.8,South America,36241578.0,2.6
Argentina,1999,73.9,South America,36648054.0,2.54
Argentina,2000,74.2,South America,37057453.0,2.48
Argentina,2001,74.3,South America,37471535.0,2.42
Argentina,2002,74.3,South America,37889443.0,2.38
Argentina,2003,74.5,South America,38309475.0,2.34
Argentina,2004,75.0,South America,38728778.0,2.31
Argentina,2005,75.3,South America,39145491.0,2.29
Argentina,2006,75.3,South America,39558750.0,2.27
Argentina,2007,75.2,South America,39969903.0,2.25
Argentina,2008,75.4,South America,40381860.0,2.24
Argentina,2009,75.6,South America,40798641.0,2.23
Argentina,2010,75.8,South America,41222875.0,2.22
Argentina,2011,76.0,South America,41655616.0,2.2
Argentina,2012,76.1,South America,42095224.0,2.19
Argentina,2013,76.2,South America,42538304.0,2.18
Argentina,2014,76.3,South America,42980026.0,2.16
Argentina,2015,76.5,South America,43416755.0,2.15
Armenia,1951,62.67,Europe,1382982.0,4.51
Armenia,1952,63.13,Europe,1419913.0,4.49
Armenia,1953,63.6,Europe,1463017.0,4.48
Armenia,1954,64.07,Europe,1511188.0,4.48
Armenia,1955,64.54,Europe,1563508.0,4.49
Armenia,1956,65.0,Europe,1619242.0,4.51
Armenia,1957,65.45,Europe,1677837.0,4.53
Armenia,1958,65.92,Europe,1738902.0,4.55
Armenia,1959,66.39,Europe,1802171.0,4.56
Armenia,1960,66.86,Europe,1867396.0,4.55
Armenia,1961,67.33,Europe,1934239.0,4.51
Armenia,1962,67.82,Europe,2002170.0,4.44
Armenia,1963,68.3,Europe,2070427.0,4.32
Armenia,1964,68.78,Europe,2138133.0,4.16
Armenia,1965,69.26,Europe,2204650.0,3.98
Armenia,1966,69.74,Europe,2269475.0,3.79
Armenia,1967,70.22,Europe,2332624.0,3.61
Armenia,1968,70.67,Europe,2394635.0,3.45
Armenia,1969,71.1,Europe,2456370.0,3.31
Armenia,1970,71.47,Europe,2518408.0,3.21
Armenia,1971,71.79,Europe,2580894.0,3.12
Armenia,1972,72.02,Europe,2643464.0,3.03
Armenia,1973,72.19,Europe,2705584.0,2.94
Armenia,1974,72.28,Europe,2766495.0,2.85
Armenia,1975,72.33,Europe,2825650.0,2.75
Armenia,1976,72.38,Europe,2882831.0,2.65
Armenia,1977,72.44,Europe,2938181.0,2.56
Armenia,1978,72.53,Europe,2991954.0,2.48
Armenia,1979,72.63,Europe,3044564.0,2.42
Armenia,1980,72.72,Europe,3096298.0,2.39
Armenia,1981,72.73,Europe,3145885.0,2.37
Armenia,1982,72.64,Europe,3192877.0,2.38
Armenia,1983,72.43,Europe,3239212.0,2.41
Armenia,1984,72.1,Europe,3287588.0,2.44
Armenia,1985,71.7,Europe,3339147.0,2.48
Armenia,1986,71.24,Europe,3396511.0,2.52
Armenia,1987,70.82,Europe,3457054.0,2.55
Armenia,1988,70.46,Europe,3510439.0,2.57
Armenia,1989,70.22,Europe,3542720.0,2.57
Armenia,1990,70.1,Europe,3544695.0,2.54
Armenia,1991,69.7,Europe,3511912.0,2.48
Armenia,1992,68.8,Europe,3449497.0,2.4
Armenia,1993,68.3,Europe,3369673.0,2.3
Armenia,1994,68.6,Europe,3289943.0,2.18
Armenia,1995,69.1,Europe,3223173.0,1.8
Armenia,1996,69.4,Europe,3173425.0,1.8
Armenia,1997,70.0,Europe,3137652.0,1.7
Armenia,1998,70.5,Europe,3112958.0,1.5
Armenia,1999,70.8,Europe,3093820.0,1.4
Armenia,2000,71.3,Europe,3076098.0,1.3
Armenia,2001,71.4,Europe,3060036.0,1.2
Armenia,2002,71.6,Europe,3047249.0,1.2
Armenia,2003,71.5,Europe,3036420.0,1.4
Armenia,2004,71.8,Europe,3025982.0,1.4
Armenia,2005,71.8,Europe,3014917.0,1.4
Armenia,2006,71.7,Europe,3002161.0,1.3
Armenia,2007,72.3,Europe,2988117.0,1.4
Armenia,2008,72.3,Europe,2975029.0,1.4
Armenia,2009,72.6,Europe,2966108.0,1.6
Armenia,2010,73.0,Europe,2963496.0,1.55
Armenia,2011,73.5,Europe,2967984.0,1.5
Armenia,2012,73.9,Europe,2978339.0,1.47
Armenia,2013,74.3,Europe,2992192.0,1.44
Armenia,2014,74.5,Europe,3006154.0,1.42
Armenia,2015,74.7,Europe,3017712.0,1.41
Australia,1951,68.71,Australia and Oceania,8417640.0,3.06
Australia,1952,69.11,Australia and Oceania,8627052.0,3.18
Australia,1953,69.69,Australia and Oceania,8821938.0,3.19
Australia,1954,69.84,Australia and Oceania,9014508.0,3.19
Australia,1955,70.16,Australia and Oceania,9212824.0,3.28
Australia,1956,70.03,Australia and Oceania,9420602.0,3.33
Australia,1957,70.31,Australia and Oceania,9637408.0,3.42
Australia,1958,70.86,Australia and Oceania,9859257.0,3.42
Australia,1959,70.43,Australia and Oceania,10079604.0,3.44
Australia,1960,70.87,Australia and Oceania,10292328.0,3.45
Australia,1961,71.14,Australia and Oceania,10494911.0,3.55
Australia,1962,70.91,Australia and Oceania,10691220.0,3.43
Australia,1963,70.97,Australia and Oceania,10892700.0,3.34
Australia,1964,70.63,Australia and Oceania,11114995.0,3.15
Australia,1965,70.96,Australia and Oceania,11368011.0,2.97
Australia,1966,70.79,Australia and Oceania,11657281.0,2.89
Australia,1967,71.07,Australia and Oceania,11975795.0,2.85
Australia,1968,70.7,Australia and Oceania,12305530.0,2.89
Australia,1969,71.11,Australia and Oceania,12621240.0,2.89
Australia,1970,70.78,Australia and Oceania,12904760.0,2.86
Australia,1971,71.38,Australia and Oceania,13150591.0,2.95
Australia,1972,71.9,Australia and Oceania,13364238.0,2.74
Australia,1973,72.11,Australia and Oceania,13552190.0,2.49
Australia,1974,71.86,Australia and Oceania,13725400.0,2.32
Australia,1975,72.81,Australia and Oceania,13892674.0,2.15
Australia,1976,72.84,Australia and Oceania,14054956.0,2.06
Australia,1977,73.45,Australia and Oceania,14211657.0,2.01
Australia,1978,73.84,Australia and Oceania,14368543.0,1.95
Australia,1979,74.4,Australia and Oceania,14532401.0,1.91
Australia,1980,74.56,Australia and Oceania,14708323.0,1.89
Australia,1981,74.92,Australia and Oceania,14898019.0,1.94
Australia,1982,74.7,Australia and Oceania,15101227.0,1.93
Australia,1983,75.51,Australia and Oceania,15318254.0,1.92
Australia,1984,75.98,Australia and Oceania,15548591.0,1.84
Australia,1985,75.41,Australia and Oceania,15791043.0,1.92
Australia,1986,76.08,Australia and Oceania,16047026.0,1.87
Australia,1987,76.27,Australia and Oceania,16314778.0,1.85
Australia,1988,76.3,Australia and Oceania,16585905.0,1.83
Australia,1989,76.4,Australia and Oceania,16849253.0,1.84
Australia,1990,77.0,Australia and Oceania,17096869.0,1.9
Australia,1991,77.4,Australia and Oceania,17325818.0,1.85
Australia,1992,77.6,Australia and Oceania,17538387.0,1.89
Australia,1993,77.9,Australia and Oceania,17738428.0,1.86
Australia,1994,78.1,Australia and Oceania,17932214.0,1.84
Australia,1995,78.3,Australia and Oceania,18124770.0,1.82
Australia,1996,78.5,Australia and Oceania,18318340.0,1.8
Australia,1997,78.8,Australia and Oceania,18512971.0,1.78
Australia,1998,79.2,Australia and Oceania,18709175.0,1.76
Australia,1999,79.4,Australia and Oceania,18906936.0,1.76
Australia,2000,79.8,Australia and Oceania,19107251.0,1.76
Australia,2001,80.1,Australia and Oceania,19308681.0,1.73
Australia,2002,80.3,Australia and Oceania,19514385.0,1.76
Australia,2003,80.6,Australia and Oceania,19735255.0,1.75
Australia,2004,80.9,Australia and Oceania,19985475.0,1.76
Australia,2005,81.2,Australia and Oceania,20274282.0,1.79
Australia,2006,81.4,Australia and Oceania,20606228.0,1.82
Australia,2007,81.5,Australia and Oceania,20975949.0,1.92
Australia,2008,81.6,Australia and Oceania,21370348.0,1.96
Australia,2009,81.8,Australia and Oceania,21770690.0,1.9
Australia,2010,82.0,Australia and Oceania,22162863.0,1.89
Australia,2011,82.2,Australia and Oceania,22542371.0,1.88
Australia,2012,82.4,Australia and Oceania,22911375.0,1.89
Australia,2013,82.4,Australia and Oceania,23270465.0,1.88
Australia,2014,82.3,Australia and Oceania,23622353.0,1.88
